Wizards,atomic bomb,1977,https://en.wikipedia.org/wiki/Wizards_(film)
Dawn of the Dead,zombies,1978,https://en.wikipedia.org/wiki/Dawn_of_the_Dead_(1978_film)
A Distant Thunder,rapture,1978,https://en.wikipedia.org/wiki/A_Distant_Thunder_(1978_film)
Invasion of the Body Snatchers,aliens,1978,https://en.wikipedia.org/wiki/Invasion_of_the_Body_Snatchers_(1978_film)
Quintet,climate,1979,https://en.wikipedia.org/wiki/Quintet_(film)
Apocalypse Now,war,1979,https://en.wikipedia.org/wiki/Apocalypse_Now
Ravagers,atomic bomb,1979,https://en.wikipedia.org/wiki/Ravagers_(1979_film)
The Shape of Things to Come,robots,1979,https://en.wikipedia.org/wiki/H._G._Wells%27_The_Shape_of_Things_to_Come
Flash Gordon,war,1980,https://en.wikipedia.org/wiki/Flash_Gordon_(film)
The Martian Chroniclesÿ(TV miniseries),aliens,1980,https://en.wikipedia.org/wiki/The_Martian_Chronicles_(TV_miniseries)
Escape from New York,war,1981,https://en.wikipedia.org/wiki/Escape_from_New_York
Image of the Beast,religious related,1981,https://en.wikipedia.org/wiki/Image_of_the_Beast_(film)
Malevil,war,1981,https://en.wikipedia.org/wiki/Malevil_(film)
Battletruck,war,1982,https://en.wikipedia.org/wiki/Warlords_of_the_21st_Century
The Thing,monster,1982,https://en.wikipedia.org/wiki/The_Thing_(1982_film)
Blade Runner,ai,1982,https://en.wikipedia.org/wiki/Blade_Runner
World War III,war,1982,https://en.wikipedia.org/wiki/World_War_III_(TV_miniseries)
The Day After,atomic bomb,1983,https://en.wikipedia.org/wiki/The_Day_After
The Prodigal Planet,atomic bomb,1983,https://en.wikipedia.org/wiki/The_Prodigal_Planet
Testament,atomic bomb,1983,https://en.wikipedia.org/wiki/Testament_(film)
Das Arche Noah Prinzip,disaster,1984,https://en.wikipedia.org/wiki/Das_Arche_Noah_Prinzip
Nausica„ of the Valley of the Wind,war,1984,https://en.wikipedia.org/wiki/Nausica%C3%A4_of_the_Valley_of_the_Wind_(film)
Night of the Comet,zombies,1984,https://en.wikipedia.org/wiki/Night_of_the_Comet
The Terminator,ai,1984,https://en.wikipedia.org/wiki/The_Terminator
Threads,atomic bomb,1984,https://en.wikipedia.org/wiki/Threads
